id_tbl_preguntas_conversacion_conecta2,fk_tbl_conversaciones_conecta2,pregunta,respuesta,calificacion,comentario
1,1,"Que es el",NULL,NULL,NULL
2,1,"Que es el",NULL,NULL,NULL
3,2,"Que significa el ",NULL,NULL,NULL
4,2,"Que es bloqueo 22",NULL,NULL,NULL
5,3,"aumentar el cupo",NULL,NULL,NULL
6,4,"Que es cdt",NULL,NULL,NULL
7,5,"Que es un CDT",NULL,NULL,NULL
8,6,cdt,NULL,NULL,NULL
9,7,"FONDO COMUN ORDINARIO-FONDO COMUN ORDINARIO",NULL,NULL,NULL
10,8,"Que es el",NULL,NULL,NULL
11,9,cdt,NULL,NULL,NULL
12,10,"aumentar cupo",NULL,NULL,NULL
13,11,"transferencias ach",NULL,NULL,NULL
14,12,"si una transferencia ach es rechazada en cuanto tiempo se hace la devolucion del dinero",NULL,NULL,NULL
15,13,"aumentar cupo",NULL,NULL,NULL
16,14,"aumentar el cupo","¿Te refieres a aumentar el cupo de una tarjeta de crédito? ¿O estás interesado en aumentar el cupo de algún otro producto como un crédito empresarial o una línea de crédito? ¿Quieres saber los requisitos, el proceso o los beneficios de hacerlo?",NULL,NULL
17,15,"pagar en dolares",NULL,NULL,NULL
18,16,"Cómo radico un derecho de petición ",NULL,NULL,NULL
19,17,"Desembargo cuentas ",NULL,NULL,NULL
20,18,"Creación cuenta de ahorro ",NULL,NULL,NULL
21,19,"Bre b qué es y como se usa",NULL,NULL,NULL
22,20,"Bre b qué es y como se usa",NULL,NULL,NULL
23,21,"Renovación de CDT",NULL,NULL,NULL
24,22,"Registro de celular en la app",NULL,NULL,NULL
25,23,"Registro de dispositivo ",NULL,NULL,NULL
26,24,"Tasas y tarifas",NULL,NULL,NULL
27,25,"se puede redivipuntos por millas a diferentes numeros de cuenta lifemiles",NULL,NULL,NULL
28,26,"ciclos de facturacion de tc",NULL,NULL,NULL
29,27,"aumentar el cupo",NULL,NULL,NULL
30,27,"aumentar el cupo",NULL,NULL,NULL
31,28,"¿cómo solicitar servicio de grua?",NULL,NULL,NULL
32,29,"aumentar el cupo",NULL,NULL,NULL
33,30,"como pagar mi tarjeta de credito en dolares",NULL,NULL,NULL
34,31,"que es un CDT",NULL,NULL,NULL
35,30,"como pagar mi tarjeta de credito en dolares",NULL,NULL,NULL
36,32,"Que es un CDT",NULL,NULL,NULL
37,33,"como pagar mi tarjeta de credito en dolares",NULL,NULL,NULL
38,34,"como pagar mi tarjeta de credito en dolares",NULL,NULL,NULL
39,35,"Que es un CDT",NULL,NULL,NULL
40,36,cuenta,NULL,NULL,NULL
41,37,"abrir cdt",NULL,NULL,NULL
42,38,"si una transferencia ach es rechazada en cuanto tiempo se hace la devolucion del dinero",NULL,NULL,NULL
43,39,"Como ingresar a datafile",NULL,NULL,NULL
44,40,"Cual es el link de datafile",NULL,NULL,NULL
45,41,"Como ingresar a scala",NULL,NULL,NULL
46,42,"aumentar el cupo",NULL,NULL,NULL
47,43,"FORMATO DE INFORMACION TECNICA",NULL,NULL,NULL
48,44,"RECHAZO 16 PSE",NULL,NULL,NULL
49,45,"RECHAZO 16 PSE",NULL,NULL,NULL
50,46,"aumentar el cupo ","¿Te refieres a aumentar el cupo de una tarjeta de crédito? ¿O estás interesado en aumentar el cupo de algún otro producto como un crédito empresarial o pyme? ¿Quieres saber cómo solicitarlo o los requisitos para hacerlo?",Mal,NULL
51,46,"Pagar en dolares","¿Quieres saber cómo realizar pagos en dólares con Davivienda? ¿Te interesa conocer las oficinas que reciben pagos en dólares, el proceso para pagar una tarjeta de crédito en dólares, o la tasa de cambio que se utiliza para estos pagos?",Mal,NULL
52,46,"abrir un producto","¿Podrías decirme qué tipo de producto te gustaría abrir? ¿Una cuenta de ahorros, un CDT, una tarjeta de crédito, o algún otro producto específico? ¿Quieres conocer los requisitos, el proceso o los beneficios?",Mal,NULL
53,47,"que es un CDT","Un CDT (Certificado de Depósito a Término) es una opción de inversión que ofrece Davivienda, donde tú eliges el monto, el plazo y la periodicidad de pago de intereses que más te convenga. Al finalizar el plazo acordado, recibirás el dinero inicial más los intereses pactados al momento de abrir el CDT.

Existen dos tipos principales de CDT:

1. CDT Tasa fija: Reconoce rendimientos a una tasa de interés fija según el plazo que elijas.
2. CDT Tasa variable (indexada al IPC): Reconoce rendimientos a una tasa variable, que se ajusta según el Índice de Precios al Consumidor (IPC) de los últimos 12 meses más puntos adicionales establecidos por el banco.

Puedes abrir un CDT con débito a cuenta, cheque o efectivo, y para personas jurídicas se debe hacer a través de Cliente 360 en la pestaña de empresas.

Si quieres conocer más detalles o simular un CDT, puedes acceder a los recursos disponibles en Davivienda.

📄 **Información adicional disponible:**

• Simulador de CDT: [https://www.davivienda.com/wps/portal/personas/nuevo/personas/portlet/simulador_cdt_cobis](https://www.davivienda.com/wps/portal/personas/nuevo/personas/portlet/simulador_cdt_cobis)

Si tienes alguna inquietud adicional, estoy aquí para ayudarte 😊",Mal,NULL
